@relation InstanceResultListener

@attribute Key_Dataset {lunar_lander,lunar_lander-weka.filters.unsupervised.attribute.Remove-R9-12}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.bayes.NaiveBayes,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-C 0.25 -M 2','','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {-217733168393644444,5995231201785697655,1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 230\nSize of the tree: 459\n','Number of leaves: 247\nSize of the tree: 493\n','Number of leaves: 246\nSize of the tree: 491\n','Number of leaves: 240\nSize of the tree: 479\n','Number of leaves: 223\nSize of the tree: 445\n','Number of leaves: 216\nSize of the tree: 431\n','Number of leaves: 238\nSize of the tree: 475\n','Number of leaves: 243\nSize of the tree: 485\n','Number of leaves: 234\nSize of the tree: 467\n','Number of leaves: 231\nSize of the tree: 461\n','Number of leaves: 245\nSize of the tree: 489\n','Number of leaves: 228\nSize of the tree: 455\n','Number of leaves: 237\nSize of the tree: 473\n','Number of leaves: 221\nSize of the tree: 441\n','Number of leaves: 242\nSize of the tree: 483\n','Number of leaves: 226\nSize of the tree: 451\n','Number of leaves: 232\nSize of the tree: 463\n','Number of leaves: 241\nSize of the tree: 481\n','Number of leaves: 239\nSize of the tree: 477\n','Number of leaves: 248\nSize of the tree: 495\n','Number of leaves: 244\nSize of the tree: 487\n','Number of leaves: 236\nSize of the tree: 471\n','Number of leaves: 249\nSize of the tree: 497\n','Number of leaves: 252\nSize of the tree: 503\n','Number of leaves: 235\nSize of the tree: 469\n','Number of leaves: 251\nSize of the tree: 501\n','Number of leaves: 233\nSize of the tree: 465\n','Number of leaves: 225\nSize of the tree: 449\n','Number of leaves: 224\nSize of the tree: 447\n','Number of leaves: 229\nSize of the tree: 457\n','Number of leaves: 218\nSize of the tree: 435\n','Number of leaves: 266\nSize of the tree: 531\n','Number of leaves: 287\nSize of the tree: 573\n','Number of leaves: 272\nSize of the tree: 543\n','Number of leaves: 261\nSize of the tree: 521\n','Number of leaves: 270\nSize of the tree: 539\n','Number of leaves: 260\nSize of the tree: 519\n','Number of leaves: 288\nSize of the tree: 575\n','Number of leaves: 280\nSize of the tree: 559\n','Number of leaves: 293\nSize of the tree: 585\n','Number of leaves: 263\nSize of the tree: 525\n','Number of leaves: 278\nSize of the tree: 555\n','Number of leaves: 299\nSize of the tree: 597\n','Number of leaves: 281\nSize of the tree: 561\n','Number of leaves: 296\nSize of the tree: 591\n','Number of leaves: 294\nSize of the tree: 587\n','Number of leaves: 282\nSize of the tree: 563\n','Number of leaves: 274\nSize of the tree: 547\n','Number of leaves: 273\nSize of the tree: 545\n','Number of leaves: 264\nSize of the tree: 527\n','Number of leaves: 276\nSize of the tree: 551\n','Number of leaves: 284\nSize of the tree: 567\n','Number of leaves: 291\nSize of the tree: 581\n','Number of leaves: 256\nSize of the tree: 511\n','Number of leaves: 265\nSize of the tree: 529\n','Number of leaves: 257\nSize of the tree: 513\n','Number of leaves: 271\nSize of the tree: 541\n','Number of leaves: 268\nSize of the tree: 535\n','Number of leaves: 262\nSize of the tree: 523\n','Number of leaves: 275\nSize of the tree: 549\n','Number of leaves: 254\nSize of the tree: 507\n','Number of leaves: 250\nSize of the tree: 499\n','Number of leaves: 308\nSize of the tree: 615\n','Number of leaves: 255\nSize of the tree: 509\n','Number of leaves: 303\nSize of the tree: 605\n','Number of leaves: 279\nSize of the tree: 557\n','Number of leaves: 290\nSize of the tree: 579\n','Number of leaves: 267\nSize of the tree: 533\n','Number of leaves: 285\nSize of the tree: 569\n','Number of leaves: 283\nSize of the tree: 565\n','Number of leaves: 259\nSize of the tree: 517\n','Number of leaves: 286\nSize of the tree: 571\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

lunar_lander,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260327.2133,4608,513,513,0,0,100,0,0,1,0.000635,0.003397,0.196145,0.844702,855.7008,0.948165,854.752635,1.668033,0.001848,1.666184,854.752635,1.666184,99.889194,1,252,0,0,1,261,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.056,0.003,0.050896,0.003072,50.896,3.072,15160,614758,70123,100,25,'Number of leaves: 27\nSize of the tree: 53\n',53,27,27,?
lunar_lander,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260327.2133,4609,512,511,1,0,99.804688,0.195313,0,0.996976,0.00163,0.031566,0.503985,7.852741,853.595631,10.859805,842.735826,1.667179,0.021211,1.645968,850.150104,1.660449,99.596351,1,252,0.003846,1,0.996154,259,0,0,0.996047,1,0.99802,0.996101,0.998222,0.996371,0.998047,0.001893,0.998107,0.001953,0.998055,0.998047,0.998045,0.996799,0.998541,0.996957,0.998476,0.998047,0.049,0.003,0.044457,0.001749,44.457,1.749,14272,614891,69990,99.804688,25.341797,'Number of leaves: 25\nSize of the tree: 49\n',49,25,25,?
lunar_lander,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260327.2133,4609,512,509,3,0,99.414063,0.585938,0,0.99094,0.003335,0.054184,1.029768,13.4608,857.273268,3222.603606,-2365.330338,1.674362,6.294148,-4.619786,847.016061,1.654328,98.803508,1,251,0.007663,2,0.992337,259,0,0,0.992095,1,0.996032,0.992216,0.992902,0.985542,0.994141,0.004361,0.995639,0.005859,0.994155,0.994141,0.994112,0.991311,0.992219,0.986119,0.989798,0.994141,0.049,0.002,0.043438,0.001098,43.438,1.098,15160,614891,69990,99.414063,25,'Number of leaves: 27\nSize of the tree: 53\n',53,27,27,?
lunar_lander,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260327.2133,4609,512,510,2,0,99.609375,0.390625,0,0.993965,0.002405,0.043767,0.743094,10.879435,854.67239,1080.19601,-225.523621,1.669282,2.109758,-0.440476,849.049758,1.6583,99.34213,1,251,0.003831,1,0.996169,260,0,0,0.996032,1,0.998012,0.9961,0.999939,0.999874,0.996094,0.001958,0.998042,0.003906,0.996195,0.996094,0.996111,0.994553,0.998934,0.996459,0.991322,0.996094,0.066,0.002,0.057284,0.001341,57.284,1.341,14716,614891,69990,99.609375,25,'Number of leaves: 26\nSize of the tree: 51\n',51,26,26,?
lunar_lander,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260327.2133,4609,512,511,1,0,99.804688,0.195313,0,0.996981,0.001517,0.031436,0.468719,7.814259,854.67239,11.674055,842.998334,1.669282,0.022801,1.646481,851.40106,1.662893,99.617242,1,251,0.003831,1,0.996169,260,0,0,0.996032,1,0.998012,0.9961,0.998138,0.996169,0.998047,0.001878,0.998122,0.001953,0.998055,0.998047,0.998045,0.996806,0.998476,0.996853,0.998474,0.998047,0.047,0.001,0.045934,0.001109,45.934,1.109,15160,614891,69990,99.804688,25,'Number of leaves: 27\nSize of the tree: 53\n',53,27,27,?
lunar_lander,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260327.2133,4609,512,508,4,0,99.21875,0.78125,0,0.987911,0.004304,0.062024,1.32978,15.417663,854.67239,34.242995,820.429395,1.669282,0.066881,1.602401,844.153828,1.648738,98.769287,1,251,0.011494,3,0.988506,258,0,0,0.988189,1,0.994059,0.988347,0.996627,0.99312,0.992188,0.005714,0.994286,0.007813,0.99235,0.992188,0.992187,0.988206,0.997237,0.993027,0.988197,0.992188,0.04,0.001,0.040195,0.000265,40.195,0.265,16936,614891,69990,99.21875,25,'Number of leaves: 31\nSize of the tree: 61\n',61,31,31,?
lunar_lander,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260327.2133,4609,512,512,0,0,100,0,0,1,0.000626,0.003388,0.193259,0.842121,854.67239,0.932821,853.739569,1.669282,0.001822,1.66746,853.739569,1.66746,99.890856,1,251,0,0,1,261,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.044,0,0.042693,0.000144,42.693,0.144,14716,614891,69990,100,25,'Number of leaves: 26\nSize of the tree: 51\n',51,26,26,?
lunar_lander,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260327.2133,4609,512,508,4,0,99.21875,0.78125,0,0.987911,0.004547,0.062743,1.40486,15.596412,854.67239,3232.836567,-2378.164178,1.669282,6.314134,-4.644852,843.795895,1.648039,98.727408,1,251,0.011494,3,0.988506,258,0,0,0.988189,1,0.994059,0.988347,0.993047,0.985673,0.992188,0.005714,0.994286,0.007813,0.99235,0.992188,0.992196,0.988197,0.992563,0.985411,0.988233,0.992188,0.038,0,0.037774,0.000149,37.774,0.149,16936,614891,69990,99.21875,25.048828,'Number of leaves: 31\nSize of the tree: 61\n',61,31,31,?
lunar_lander,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260327.2133,4609,512,509,3,0,99.414063,0.585938,0,0.990928,0.003338,0.053743,1.031358,13.359233,854.67239,25.914286,828.758104,1.669282,0.050614,1.618668,846.676873,1.653666,99.064493,1,251,0.011494,3,0.988506,258,0,0,0.988189,1,0.994059,0.988347,0.996359,0.992536,0.994141,0.005635,0.994365,0.005859,0.99421,0.994141,0.994122,0.99044,0.997021,0.993738,0.995403,0.994141,0.039,0.001,0.038877,0.000304,38.877,0.304,15160,614891,69990,99.414063,25,'Number of leaves: 27\nSize of the tree: 53\n',53,27,27,?
lunar_lander,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260327.2133,4609,512,510,2,0,99.609375,0.390625,0,0.993957,0.002462,0.044248,0.760488,10.999055,854.67239,2148.754853,-1294.082463,1.669282,4.196787,-2.527505,846.707881,1.653726,99.068121,1,251,0.003831,1,0.996169,260,0,0,0.996032,1,0.998012,0.9961,0.996512,0.99273,0.996094,0.002489,0.997511,0.003906,0.996117,0.996094,0.996071,0.994513,0.995542,0.991123,0.991017,0.996094,0.037,0,0.037295,0.000251,37.295,0.251,16492,614891,69990,99.609375,25,'Number of leaves: 30\nSize of the tree: 59\n',59,30,30,?
