@relation lunar_lander

@attribute x_position numeric
@attribute y_position numeric
@attribute x_velocity numeric
@attribute y_velocity numeric
@attribute angle numeric
@attribute angular_velocity numeric
@attribute left_leg {0,1}
@attribute right_leg {0,1}
@attribute magnitude_velocity numeric
@attribute abs_x_disp numeric
@attribute abs_angle numeric
@attribute action {0,1,2,3}
@attribute reward numeric

@data

0.000477,1.420447,0.048342,0.423398,-0.000546,-0.01095,0,0,0.426148,0.000477,0.000546,-0.664243,0
0.000955,1.429897,0.048277,0.420034,-0.001087,-0.01082,0,0,0.422799,0.000955,0.001087,-0.564892,0
0.001432,1.439252,0.048278,0.415758,-0.001628,-0.010817,0,0,0.418552,0.001432,0.001628,-0.550396,0
0.001909,1.448509,0.04828,0.411434,-0.002169,-0.010815,0,0,0.414257,0.001909,0.002169,-0.540887,0
0.002387,1.457669,0.048282,0.407112,-0.00271,-0.010813,0,0,0.409965,0.002387,0.00271,-0.531297,0
0.002864,1.466732,0.048283,0.40279,-0.00325,-0.010812,0,0,0.405674,0.002864,0.00325,-0.521669,0
0.003341,1.475698,0.048285,0.398469,-0.003791,-0.01081,0,0,0.401383,0.003341,0.003791,-0.512019,0
0.003819,1.484566,0.048286,0.394147,-0.004331,-0.010808,0,0,0.397094,0.003819,0.004331,-0.502346,0
0.004296,1.493337,0.048288,0.389825,-0.004871,-0.010807,0,0,0.392805,0.004296,0.004871,-0.492703,0
0.004774,1.502011,0.048289,0.385504,-0.005411,-0.010805,0,0,0.388516,0.004774,0.005411,-0.483076,0
0.005251,1.510587,0.048291,0.381182,-0.005952,-0.010804,0,0,0.384229,0.005251,0.005952,-0.473412,0
0.005729,1.519067,0.048293,0.37686,-0.006492,-0.010802,0,0,0.379942,0.005729,0.006492,-0.463769,0
0.006206,1.527449,0.048294,0.372538,-0.007032,-0.0108,0,0,0.375655,0.006206,0.007032,-0.454139,0
0.006684,1.535734,0.048296,0.368216,-0.007571,-0.010799,0,0,0.37137,0.006684,0.007571,-0.4445,0
0.007161,1.543922,0.048297,0.363894,-0.008111,-0.010798,0,0,0.367085,0.007161,0.008111,-0.434877,0
0.007639,1.552012,0.048299,0.359572,-0.008651,-0.010796,0,0,0.362802,0.007639,0.008651,-0.425224,0
0.008116,1.560005,0.0483,0.35525,-0.009191,-0.010795,0,0,0.358519,0.008116,0.009191,-0.415606,0
0.008594,1.567901,0.048302,0.350928,-0.00973,-0.010793,0,0,0.354237,0.008594,0.00973,-0.405974,0
0.009071,1.5757,0.048303,0.346606,-0.01027,-0.010792,0,0,0.349956,0.009071,0.01027,-0.396371,0
0.009549,1.583401,0.048305,0.342284,-0.010809,-0.01079,0,0,0.345676,0.009549,0.010809,-0.386748,0
0.010026,1.591006,0.048307,0.337962,-0.011349,-0.010789,0,0,0.341397,0.010026,0.011349,-0.377127,0
0.010504,1.598513,0.048308,0.33364,-0.011888,-0.010787,0,0,0.337119,0.010504,0.011888,-0.367521,0
0.010982,1.605922,0.04831,0.329318,-0.012427,-0.010786,0,0,0.332842,0.010982,0.012427,-0.357914,0
0.011459,1.613235,0.048311,0.324995,-0.012966,-0.010785,0,0,0.328566,0.011459,0.012966,-0.34832,0
0.011937,1.62045,0.048313,0.320673,-0.013506,-0.010783,0,0,0.324292,0.011937,0.013506,-0.242014,0
0.012414,1.627547,0.048294,0.315397,-0.014045,-0.010782,0,0,0.319073,0.012414,0.014045,-0.327237,0
0.012892,1.634546,0.048294,0.311077,-0.014584,-0.010782,0,0,0.314804,0.012892,0.014584,-0.317677,0
0.013369,1.641448,0.048294,0.306757,-0.015123,-0.010782,0,0,0.310535,0.013369,0.015123,-0.308107,0
0.013847,1.648253,0.048294,0.302437,-0.015662,-0.010782,0,0,0.306269,0.013847,0.015662,-0.298556,0
0.014324,1.654961,0.048294,0.298117,-0.016201,-0.010782,0,0,0.302004,0.014324,0.016201,-0.288998,0
0.014802,1.661572,0.048294,0.293797,-0.01674,-0.010782,0,0,0.29774,0.014802,0.01674,-0.279459,0
0.015279,1.668085,0.048294,0.289477,-0.017279,-0.010782,0,0,0.293478,0.015279,0.017279,-0.269915,0
0.015757,1.674501,0.048294,0.285157,-0.017818,-0.010782,0,0,0.289218,0.015757,0.017818,-0.260393,0
0.016234,1.68082,0.048294,0.280837,-0.018357,-0.010782,0,0,0.284959,0.016234,0.018357,-0.250858,0
0.016712,1.687042,0.048294,0.276517,-0.018897,-0.010782,0,0,0.280703,0.016712,0.018897,-0.241358,0
0.017189,1.693166,0.048294,0.272197,-0.019436,-0.010782,0,0,0.276448,0.017189,0.019436,-0.231849,0
0.017667,1.699194,0.048294,0.267877,-0.019975,-0.010782,0,0,0.272196,0.017667,0.019975,-0.222359,0
0.018144,1.705124,0.048294,0.263557,-0.020514,-0.010782,0,0,0.267945,0.018144,0.020514,-0.212869,0
0.018622,1.710957,0.048294,0.259237,-0.021053,-0.010782,0,0,0.263697,0.018622,0.021053,-0.203405,0
0.019099,1.716693,0.048294,0.254917,-0.021592,-0.010782,0,0,0.259451,0.019099,0.021592,-0.193967,0
0.019577,1.722331,0.048294,0.250597,-0.022131,-0.010782,0,0,0.255208,0.019577,0.022131,-0.184496,0
0.020054,1.727873,0.048294,0.246277,-0.02267,-0.010782,0,0,0.250968,0.020054,0.02267,-0.175068,0
0.020532,1.733317,0.048294,0.241957,-0.023209,-0.010782,0,0,0.24673,0.020532,0.023209,-0.165657,0
0.021009,1.738664,0.048294,0.237637,-0.023748,-0.010782,0,0,0.242495,0.021009,0.023748,-0.156244,0
0.021487,1.743914,0.048294,0.233317,-0.024288,-0.010782,0,0,0.238263,0.021487,0.024288,-0.14685,0
0.021964,1.749066,0.048294,0.228997,-0.024827,-0.010782,0,0,0.234034,0.021964,0.024827,-0.1375,0
0.022442,1.754122,0.048294,0.224677,-0.025366,-0.010782,0,0,0.229809,0.022442,0.025366,-0.128127,0
0.022919,1.75908,0.048294,0.220357,-0.025905,-0.010782,0,0,0.225587,0.022919,0.025905,-0.118819,0
0.023396,1.763941,0.048294,0.216037,-0.026444,-0.010782,0,0,0.221369,0.023396,0.026444,-0.109489,0
0.023874,1.768705,0.048294,0.211717,-0.026983,-0.010782,0,0,0.217155,0.023874,0.026983,-0.100227,0
0.024352,1.773372,0.048294,0.207397,-0.027522,-0.010782,0,0,0.212945,0.024352,0.027522,-0.090959,0
0.024829,1.777941,0.048294,0.203077,-0.028061,-0.010782,0,0,0.20874,0.024829,0.028061,-0.081723,0
0.025306,1.782414,0.048294,0.198757,-0.0286,-0.010782,0,0,0.20454,0.025306,0.0286,-0.072529,0
0.025784,1.786789,0.048294,0.194437,-0.02914,-0.010782,0,0,0.200345,0.025784,0.02914,-0.063354,0
0.026261,1.791066,0.048294,0.190117,-0.029679,-0.010782,0,0,0.196155,0.026261,0.029679,-0.054227,0
0.026739,1.795247,0.048294,0.185797,-0.030218,-0.010782,0,0,0.191971,0.026739,0.030218,-0.045141,0
0.027216,1.799331,0.048294,0.181477,-0.030757,-0.010782,0,0,0.187793,0.027216,0.030757,-0.036082,0
0.027694,1.803317,0.048294,0.177157,-0.031296,-0.010782,0,0,0.183621,0.027694,0.031296,-0.027068,0
0.028171,1.807206,0.048294,0.172836,-0.031835,-0.010782,0,0,0.179457,0.028171,0.031835,-0.018134,0
0.028649,1.810998,0.048294,0.168516,-0.032374,-0.010782,0,0,0.1753,0.028649,0.032374,-0.009225,0
0.029126,1.814693,0.048294,0.164196,-0.032913,-0.010782,0,0,0.171151,0.029126,0.032913,-0.000378,0
0.029604,1.81829,0.048294,0.159876,-0.033452,-0.010782,0,0,0.167011,0.029604,0.033452,0.0084,0
0.030081,1.82179,0.048294,0.155556,-0.033992,-0.010782,0,0,0.162881,0.030081,0.033992,0.017085,0
0.030559,1.825193,0.048294,0.151236,-0.034531,-0.010782,0,0,0.15876,0.030559,0.034531,0.02571,0
0.031036,1.828499,0.048294,0.146916,-0.03507,-0.010782,0,0,0.15465,0.031036,0.03507,0.034247,0
0.031514,1.831708,0.048294,0.142596,-0.035609,-0.010782,0,0,0.150552,0.031514,0.035609,0.042686,0
0.031991,1.834819,0.048294,0.138276,-0.036148,-0.010782,0,0,0.146467,0.031991,0.036148,0.050992,0
0.032469,1.837834,0.048294,0.133956,-0.036687,-0.010782,0,0,0.142396,0.032469,0.036687,0.059198,0
