@relation lunar_lander-weka.filters.unsupervised.attribute.Remove-R9-12

@attribute x_position numeric
@attribute y_position numeric
@attribute x_velocity numeric
@attribute y_velocity numeric
@attribute angle numeric
@attribute angular_velocity numeric
@attribute left_leg {0,1}
@attribute right_leg {0,1}
@attribute action {0,1,2,3}

@data
0.000477,1.420447,0.048342,0.423398,-0.000546,-0.01095,0,0,0
0.000955,1.429897,0.048277,0.420034,-0.001087,-0.01082,0,0,0
0.001432,1.439252,0.048278,0.415758,-0.001628,-0.010817,0,0,0
0.001909,1.448509,0.04828,0.411434,-0.002169,-0.010815,0,0,0
0.002387,1.457669,0.048282,0.407112,-0.00271,-0.010813,0,0,0
0.002864,1.466732,0.048283,0.40279,-0.00325,-0.010812,0,0,0
0.003341,1.475698,0.048285,0.398469,-0.003791,-0.01081,0,0,0
0.003819,1.484566,0.048286,0.394147,-0.004331,-0.010808,0,0,0
0.004296,1.493337,0.048288,0.389825,-0.004871,-0.010807,0,0,0
0.004774,1.502011,0.048289,0.385504,-0.005411,-0.010805,0,0,0
0.005251,1.510587,0.048291,0.381182,-0.005952,-0.010804,0,0,0
0.005729,1.519067,0.048293,0.37686,-0.006492,-0.010802,0,0,0
0.006206,1.527449,0.048294,0.372538,-0.007032,-0.0108,0,0,0
0.006684,1.535734,0.048296,0.368216,-0.007571,-0.010799,0,0,0
0.007161,1.543922,0.048297,0.363894,-0.008111,-0.010798,0,0,0
0.007639,1.552012,0.048299,0.359572,-0.008651,-0.010796,0,0,0
0.008116,1.560005,0.0483,0.35525,-0.009191,-0.010795,0,0,0
0.008594,1.567901,0.048302,0.350928,-0.00973,-0.010793,0,0,0
0.009071,1.5757,0.048303,0.346606,-0.01027,-0.010792,0,0,0
0.009549,1.583401,0.048305,0.342284,-0.010809,-0.01079,0,0,0
0.010026,1.591006,0.048307,0.337962,-0.011349,-0.010789,0,0,0
0.010504,1.598513,0.048308,0.33364,-0.011888,-0.010787,0,0,0
0.010982,1.605922,0.04831,0.329318,-0.012427,-0.010786,0,0,0
0.011459,1.613235,0.048311,0.324995,-0.012966,-0.010785,0,0,0
0.011937,1.62045,0.048313,0.320673,-0.013506,-0.010783,0,0,0
0.012414,1.627547,0.048294,0.315397,-0.014045,-0.010782,0,0,0
0.012892,1.634546,0.048294,0.311077,-0.014584,-0.010782,0,0,0
0.013369,1.641448,0.048294,0.306757,-0.015123,-0.010782,0,0,0
0.013847,1.648253,0.048294,0.302437,-0.015662,-0.010782,0,0,0
0.014324,1.654961,0.048294,0.298117,-0.016201,-0.010782,0,0,0
0.014802,1.661572,0.048294,0.293797,-0.01674,-0.010782,0,0,0
0.015279,1.668085,0.048294,0.289477,-0.017279,-0.010782,0,0,0
0.015757,1.674501,0.048294,0.285157,-0.017818,-0.010782,0,0,0
0.016234,1.68082,0.048294,0.280837,-0.018357,-0.010782,0,0,0
0.016712,1.687042,0.048294,0.276517,-0.018897,-0.010782,0,0,0
0.017189,1.693166,0.048294,0.272197,-0.019436,-0.010782,0,0,0
0.017667,1.699194,0.048294,0.267877,-0.019975,-0.010782,0,0,0
0.018144,1.705124,0.048294,0.263557,-0.020514,-0.010782,0,0,0
0.018622,1.710957,0.048294,0.259237,-0.021053,-0.010782,0,0,0
0.019099,1.716693,0.048294,0.254917,-0.021592,-0.010782,0,0,0
0.019577,1.722331,0.048294,0.250597,-0.022131,-0.010782,0,0,0
0.020054,1.727873,0.048294,0.246277,-0.02267,-0.010782,0,0,0
0.020532,1.733317,0.048294,0.241957,-0.023209,-0.010782,0,0,0
0.021009,1.738664,0.048294,0.237637,-0.023748,-0.010782,0,0,0
0.021487,1.743914,0.048294,0.233317,-0.024288,-0.010782,0,0,0
0.021964,1.749066,0.048294,0.228997,-0.024827,-0.010782,0,0,0
0.022442,1.754122,0.048294,0.224677,-0.025366,-0.010782,0,0,0
0.022919,1.75908,0.048294,0.220357,-0.025905,-0.010782,0,0,0
0.023396,1.763941,0.048294,0.216037,-0.026444,-0.010782,0,0,0
0.023874,1.768705,0.048294,0.211717,-0.026983,-0.010782,0,0,0
0.024352,1.773372,0.048294,0.207397,-0.027522,-0.010782,0,0,0
0.024829,1.777941,0.048294,0.203077,-0.028061,-0.010782,0,0,0
0.025306,1.782414,0.048294,0.198757,-0.0286,-0.010782,0,0,0
0.025784,1.786789,0.048294,0.194437,-0.02914,-0.010782,0,0,0
0.026261,1.791066,0.048294,0.190117,-0.029679,-0.010782,0,0,0
0.026739,1.795247,0.048294,0.185797,-0.030218,-0.010782,0,0,0
0.027216,1.799331,0.048294,0.181477,-0.030757,-0.010782,0,0,0
0.027694,1.803317,0.048294,0.177157,-0.031296,-0.010782,0,0,0
0.028171,1.807206,0.048294,0.172836,-0.031835,-0.010782,0,0,0
0.028649,1.810998,0.048294,0.168516,-0.032374,-0.010782,0,0,0
0.029126,1.814693,0.048294,0.164196,-0.032913,-0.010782,0,0,0
0.029604,1.81829,0.048294,0.159876,-0.033452,-0.010782,0,0,0
0.030081,1.82179,0.048294,0.155556,-0.033992,-0.010782,0,0,0
0.030559,1.825193,0.048294,0.151236,-0.034531,-0.010782,0,0,0
0.031036,1.828499,0.048294,0.146916,-0.03507,-0.010782,0,0,0
0.031514,1.831708,0.048294,0.142596,-0.035609,-0.010782,0,0,0
0.031991,1.834819,0.048294,0.138276,-0.036148,-0.010782,0,0,0
0.032469,1.837834,0.048294,0.133956,-0.036687,-0.010782,0,0,0
0.032946,1.840751,0.048294,0.129636,-0.037226,-0.010782,0,0,0
0.033424,1.843571,0.048294,0.125316,-0.037765,-0.010782,0,0,0
0.033901,1.846293,0.048294,0.120996,-0.038305,-0.010782,0,0,0
0.034379,1.848919,0.048294,0.116676,-0.038844,-0.010782,0,0,0
0.034856,1.851447,0.048294,0.112356,-0.039383,-0.010782,0,0,0
0.035334,1.853878,0.048294,0.108036,-0.039922,-0.010782,0,0,0
0.035811,1.856212,0.048294,0.103716,-0.040461,-0.010782,0,0,0
0.036289,1.858449,0.048294,0.099396,-0.041,-0.010782,0,0,0
0.036766,1.860589,0.048294,0.095076,-0.041539,-0.010782,0,0,0
0.037243,1.862631,0.048294,0.090756,-0.042078,-0.010782,0,0,0
0.037721,1.864576,0.048294,0.086436,-0.042618,-0.010782,0,0,0
0.038198,1.866424,0.048294,0.082116,-0.043157,-0.010782,0,0,0
0.038676,1.868175,0.048294,0.077796,-0.043696,-0.010782,0,0,0
0.039153,1.869829,0.048294,0.073476,-0.044235,-0.010782,0,0,0
0.039631,1.871385,0.048294,0.069156,-0.044774,-0.010782,0,0,0
0.040108,1.872844,0.048294,0.064836,-0.045313,-0.010782,0,0,0
0.040586,1.874206,0.048294,0.060516,-0.045852,-0.010782,0,0,0
0.041063,1.875471,0.048294,0.056196,-0.046391,-0.010782,0,0,0
0.041541,1.876638,0.048294,0.051876,-0.04693,-0.010782,0,0,0
0.042018,1.877709,0.048294,0.047556,-0.04747,-0.010782,0,0,0
0.042496,1.878682,0.048294,0.043236,-0.048009,-0.010782,0,0,0
0.042973,1.879558,0.048294,0.038916,-0.048548,-0.010782,0,0,0
0.043451,1.880337,0.048294,0.034596,-0.049087,-0.010782,0,0,0
0.043928,1.881018,0.048294,0.030276,-0.049626,-0.010782,0,0,0
0.044406,1.881603,0.048294,0.025956,-0.050165,-0.010782,0,0,0
0.044883,1.88209,0.048294,0.021636,-0.050704,-0.010782,0,0,0
0.045361,1.88248,0.048294,0.017316,-0.051243,-0.010782,0,0,0
0.045838,1.882773,0.048294,0.012996,-0.051783,-0.010782,0,0,0
0.046316,1.882968,0.048294,0.008676,-0.052322,-0.010782,0,0,0
0.046793,1.883067,0.048294,0.004356,-0.052861,-0.010782,0,0,0
0.047271,1.883068,0.048294,0.000036,-0.0534,-0.010782,0,0,0
0.047748,1.882972,0.048294,-0.004285,-0.053939,-0.010782,0,0,0
0.048226,1.882779,0.048294,-0.008605,-0.054478,-0.010782,0,0,0
0.048703,1.882489,0.048294,-0.012925,-0.055017,-0.010782,0,0,0
0.049181,1.882101,0.048294,-0.017245,-0.055556,-0.010782,0,0,0
0.049658,1.881616,0.048294,-0.021565,-0.056096,-0.010783,0,0,0
0.050136,1.881034,0.048294,-0.025885,-0.056635,-0.010783,0,0,0
0.050613,1.880355,0.048294,-0.030205,-0.057174,-0.010783,0,0,0
0.051091,1.879579,0.048294,-0.034525,-0.057713,-0.010783,0,0,0
0.051568,1.878706,0.048294,-0.038845,-0.058252,-0.010783,0,0,0
0.052046,1.877735,0.048294,-0.043165,-0.058791,-0.010783,0,0,0
0.052523,1.876667,0.048294,-0.047485,-0.05933,-0.010783,0,0,0
0.053001,1.875502,0.048294,-0.051805,-0.059869,-0.010783,0,0,0
0.053478,1.874239,0.048294,-0.056125,-0.060409,-0.010783,0,0,0
