@relation lunar_lander

@attribute x_position numeric
@attribute y_position numeric
@attribute x_velocity numeric
@attribute y_velocity numeric
@attribute angle numeric
@attribute angular_velocity numeric
@attribute left_leg {0,1}
@attribute right_leg {0,1}
@attribute magnitude_velocity numeric
@attribute abs_x_disp numeric
@attribute abs_angle numeric
@attribute action {0,1,2,3}
@attribute reward numeric

@data

-0.00603,1.416282,-0.610783,0.238305,0.006994,0.138352,0,0,0.655626,0.00603,0.006994,-1.018114,0
-0.01206,1.42157,-0.609957,0.234955,0.013831,0.136744,0,0,0.653644,0.01206,0.013831,-1.057623,0
-0.018091,1.426762,-0.609978,0.23066,0.020663,0.136663,0,0,0.652133,0.018091,0.020663,-1.051593,0
-0.024122,1.431857,-0.609998,0.226332,0.027495,0.136645,0,0,0.650634,0.024122,0.027495,-1.046888,0
-0.030153,1.436855,-0.610018,0.222007,0.034325,0.136623,0,0,0.64916,0.030153,0.034325,-1.042146,0
-0.036184,1.441757,-0.610038,0.217682,0.041155,0.136601,0,0,0.647713,0.036184,0.041155,-1.037348,0
-0.042216,1.446562,-0.610058,0.213357,0.047983,0.13658,0,0,0.646291,0.042216,0.047983,-1.032558,0
-0.048248,1.45127,-0.610078,0.209032,0.05481,0.136558,0,0,0.644895,0.048248,0.05481,-1.02777,0
-0.05428,1.455882,-0.610098,0.204706,0.061636,0.136536,0,0,0.643525,0.05428,0.061636,-1.022972,0
-0.060312,1.460398,-0.610118,0.200381,0.068462,0.136515,0,0,0.642181,0.060312,0.068462,-1.018164,0
-0.066344,1.464816,-0.610137,0.196055,0.075286,0.136493,0,0,0.640863,0.066344,0.075286,-1.013356,0
-0.072377,1.469138,-0.610157,0.191729,0.082109,0.136472,0,0,0.639571,0.072377,0.082109,-1.008546,0
-0.07841,1.473364,-0.610176,0.187403,0.08893,0.13645,0,0,0.638306,0.07841,0.08893,-1.00376,0
-0.084444,1.477493,-0.610196,0.183077,0.095751,0.136429,0,0,0.637068,0.084444,0.095751,-0.998953,0
-0.090477,1.481525,-0.610215,0.178751,0.102571,0.136408,0,0,0.635857,0.090477,0.102571,-0.99417,0
-0.096511,1.48546,-0.610234,0.174424,0.10939,0.136387,0,0,0.634672,0.096511,0.10939,-0.98934,0
-0.102545,1.489299,-0.610253,0.170097,0.116207,0.136366,0,0,0.633515,0.102545,0.116207,-0.984556,0
-0.108579,1.493041,-0.610271,0.165771,0.123024,0.136345,0,0,0.632385,0.108579,0.123024,-0.979769,0
-0.114614,1.496686,-0.61029,0.161444,0.12984,0.136324,0,0,0.631283,0.114614,0.12984,-0.974982,0
-0.120649,1.500235,-0.610309,0.157116,0.136654,0.136303,0,0,0.630208,0.120649,0.136654,-0.970209,0
-0.126684,1.503687,-0.610327,0.152789,0.143468,0.136282,0,0,0.629161,0.126684,0.143468,-0.965436,0
-0.132719,1.507043,-0.610345,0.148462,0.15028,0.136261,0,0,0.628142,0.132719,0.15028,-0.960675,0
-0.138754,1.510301,-0.610363,0.144134,0.157092,0.136241,0,0,0.627151,0.138754,0.157092,-0.955917,0
