@relation lunar_lander-weka.filters.unsupervised.attribute.Remove-R9-12

@attribute x_position numeric
@attribute y_position numeric
@attribute x_velocity numeric
@attribute y_velocity numeric
@attribute angle numeric
@attribute angular_velocity numeric
@attribute left_leg {0,1}
@attribute right_leg {0,1}
@attribute action {0,1,2,3}

@data
-0.00603,1.416282,-0.610783,0.238305,0.006994,0.138352,0,0,0
-0.01206,1.42157,-0.609957,0.234955,0.013831,0.136744,0,0,0
-0.018091,1.426762,-0.609978,0.23066,0.020663,0.136663,0,0,0
-0.024122,1.431857,-0.609998,0.226332,0.027495,0.136645,0,0,0
-0.030153,1.436855,-0.610018,0.222007,0.034325,0.136623,0,0,0
-0.036184,1.441757,-0.610038,0.217682,0.041155,0.136601,0,0,0
-0.042216,1.446562,-0.610058,0.213357,0.047983,0.13658,0,0,0
-0.048248,1.45127,-0.610078,0.209032,0.05481,0.136558,0,0,0
-0.05428,1.455882,-0.610098,0.204706,0.061636,0.136536,0,0,0
-0.060312,1.460398,-0.610118,0.200381,0.068462,0.136515,0,0,0
-0.066344,1.464816,-0.610137,0.196055,0.075286,0.136493,0,0,0
-0.072377,1.469138,-0.610157,0.191729,0.082109,0.136472,0,0,0
-0.07841,1.473364,-0.610176,0.187403,0.08893,0.13645,0,0,0
-0.084444,1.477493,-0.610196,0.183077,0.095751,0.136429,0,0,0
-0.090477,1.481525,-0.610215,0.178751,0.102571,0.136408,0,0,0
-0.096511,1.48546,-0.610234,0.174424,0.10939,0.136387,0,0,0
-0.102545,1.489299,-0.610253,0.170097,0.116207,0.136366,0,0,0
-0.108579,1.493041,-0.610271,0.165771,0.123024,0.136345,0,0,0
-0.114614,1.496686,-0.61029,0.161444,0.12984,0.136324,0,0,0
-0.120649,1.500235,-0.610309,0.157116,0.136654,0.136303,0,0,0
-0.126684,1.503687,-0.610327,0.152789,0.143468,0.136282,0,0,0
-0.132719,1.507043,-0.610345,0.148462,0.15028,0.136261,0,0,0
-0.138754,1.510301,-0.610363,0.144134,0.157092,0.136241,0,0,0
-0.14479,1.513463,-0.610381,0.139806,0.163902,0.13622,0,0,0
-0.150826,1.516529,-0.610399,0.135478,0.170711,0.1362,0,0,0
-0.156855,1.519489,-0.610058,0.130708,0.177922,0.144223,0,0,0
-0.162889,1.52234,-0.610175,0.125887,0.184731,0.136173,0,0,0
-0.168923,1.525094,-0.610174,0.121563,0.19154,0.136173,0,0,0
-0.174957,1.527752,-0.610173,0.117239,0.198348,0.136172,0,0,0
-0.180991,1.530313,-0.610172,0.112915,0.205157,0.136172,0,0,0
-0.187025,1.532778,-0.61017,0.108592,0.211965,0.136172,0,0,0
-0.193059,1.535146,-0.610169,0.104268,0.218774,0.136172,0,0,0
